?
Academia Ludi et Artis Periodika
Merényi Könyvkiadó
Gondolat
Nagykőrös
Gondolat
Szalay Kk.
Tankönyvkiadó
Móra Ferenc Kk.
Zrínyi Katonai K.
Magyar Téka erkel Sándor Könyveshá
Tóth Könyvkereskedés és Kiadó Kft.
OKM
Grill Károly Könyvkiadóvállalata
Tinta  Könyvkiadó
Esztergályos Jenő
Homonnai és Társa Kiadó
